time,magnitude,latitude,longitude,county,state
"October 08, 2024 at 09:40:17 AM",2.7,37.3367,-115.3738,Lincoln County,Nevada
"October 08, 2024 at 09:35:22 AM",1.43,36.0966667,-117.8581667,Inyo County,California
"October 08, 2024 at 09:34:57 AM",1.9,61.1941,-149.2787,Anchorage,Alaska
"October 08, 2024 at 09:16:21 AM",1.80999994,19.1595001220703,-155.492492675781,Hawaiʻi County,Hawaii
"October 08, 2024 at 09:14:44 AM",1.5,61.7339,-149.979,Matanuska-Susitna,Alaska
"October 08, 2024 at 08:55:27 AM",2,30.879,-103.45,Pecos County,Texas
